ID;Name;Type;Harshness;Vegan;CG;Notes
1;Lanolin;Emollient;N/A;No;No;
2;Paraffinium Liquidum;Emollient;N/A;Yes;No;
3;Cetyl;Emollient;N/A;Yes;Yes;
4;Cetyl Alcohol;Emollient;N/A;Yes;Yes;
5;Mineral Oil;Emollient;N/A;Yes;No;
6;Cera Alba;Emollient;N/A;No;No;
7;Dimethicone;Emollient;N/A;Yes;No;
8;Dimethiconol;Emollient;N/A;Yes;No;
9;Cyclopentasiloxane;Emollient;N/A;Yes;No;
10;Amodimethicone;Emollient;N/A;Yes;No;
11;Cetearyl Alcohol;Emollient;N/A;Yes;Yes;
12;Stearyl Alcohol;Emollient;N/A;Not specified;Yes;
13;Myristyl Alcohol;Emollient;N/A;Yes;Yes;
14;Helianthus Annuus Seed Oil;Emollient;N/A;Yes;Yes;
15;Orbignya Oleifera Seed Oil;Emollient;N/A;Yes;Yes;
16;Astrocaryum Murumuru Seed Butter;Emollient;N/A;Yes;Yes;
17;Caprylic/Capric Triglyceride;Emollient;N/A;Yes;Yes;
18;Glycerine;Humectant;N/A;Yes;Yes;
19;Butylene Glycol;Humectant;N/A;Yes;Yes;
20;Propylene Glycol;Humectant;N/A;Yes;Yes;
21;Hexylene Glicol;Humectant;N/A;Yes;Yes;
22;Propanediol;Humectant;N/A;Yes;Yes;
23;Aloe Barbadensis Leaf Juice;Humectant;N/A;Yes;Yes;
24;Panthenol;Humectant;N/A;Not specified;Yes;
25;Niacynamide;Humectant;N/A;Yes;Yes;
26;Mel;Humectant;N/A;No;Yes;
27;Urea;Humectant;N/A;Yes;Yes;
28;Sodium Hyaluronate;Humectant;N/A;Yes;Yes;
29;Trehalose;Humectant;N/A;Yes;Yes;
30;Bataine;Humectant;N/A;Yes;Yes;
31;Sodium Pca;Humectant;N/A;Yes;Yes;
32;Allantoin;Humectant;N/A;Not specified;Yes;
33;Behentrimonium Chloride;Humectant;N/A;Yes;Yes;
34;Hydrolyzed Keratin;Protein;N/A;No;Yes;
35;Hydrolyzed Silk;Protein;N/A;No;Yes;
36;Hydrolyzed Wheat Protein;Protein;N/A;Yes;Yes;
37;Hydrolyzed Soy Protein;Protein;N/A;Yes;Yes;
38;Hydrolyzed Corn Protein;Protein;N/A;Yes;Yes;
39;Hydrolyzed Oat Protein;Protein;N/A;Yes;Yes;
40;Elastin;Protein;N/A;No;Yes;
41;Collagen;Protein;N/A;No;Yes;
42;Hydrolyzed Milk Protein;Protein;N/A;No;Yes;
43;Amino Acids;Protein;N/A;Yes;Yes;
44;Yoghurt Protein;Protein;N/A;Yes;Yes;
45;Albumen;Protein;N/A;No;Yes;
